LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_epicimage
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(IMAGEREF,VOLUMEID,ARCHIVEFLAG,IMAGEFILENAME)
TPR0MX4BT87K6Z5C,VOL199901,N,TPR0MX4BT87K6Z5C.JPG
ORRV43DTKAOXLY4D,VOL199901,N,ORRV43DTKAOXLY4D.JPG
ULDVYQPJQGEA6EB6,VOL199901,N,ULDVYQPJQGEA6EB6.JPG
TFP8FG8QFU8TMAPE,VOL199901,N,TFP8FG8QFU8TMAPE.JPG
NQTZYNCSHNG6HJMH,VOL199901,N,NQTZYNCSHNG6HJMH.JPG
V90LWQLYTJACIH3Z,VOL199901,N,V90LWQLYTJACIH3Z.JPG
X6TN4E1KSFXPOX9R,VOL199901,N,X6TN4E1KSFXPOX9R.JPG
LTCJU6SBYK8XLGXS,VOL199901,N,LTCJU6SBYK8XLGXS.JPG
HHZP4QC95BPO78ST,VOL199901,N,HHZP4QC95BPO78ST.JPG
WNIY5UDADLTQH5B5,VOL199901,N,WNIY5UDADLTQH5B5.JPG
VP2VQOLKC344P1FM,VOL199901,N,VP2VQOLKC344P1FM.JPG
VGGMM5DJ7V4DVBXI,VOL199901,N,VGGMM5DJ7V4DVBXI.JPG
NK5NGQSL2GMWQMI8,VOL199901,N,NK5NGQSL2GMWQMI8.JPG
J3ZU1F2Y357FAZVM,VOL199901,N,J3ZU1F2Y357FAZVM.JPG
SP2JT3U0Q9KIF619,VOL199901,N,SP2JT3U0Q9KIF619.JPG
H0JW1XT3TZPSK85U,VOL199901,N,H0JW1XT3TZPSK85U.JPG
WDONFBPKPRCGGISZ,VOL199901,N,WDONFBPKPRCGGISZ.JPG
U0HAJ2Y1ZPUF9E3R,VOL199901,N,U0HAJ2Y1ZPUF9E3R.JPG
IBR1FNAEJWC0SWVO,VOL199901,N,IBR1FNAEJWC0SWVO.JPG
M2RP2N25N0UYQ5P2,VOL199901,N,M2RP2N25N0UYQ5P2.JPG
BBFZKI6AFQQJKZAK,VOL199901,N,BBFZKI6AFQQJKZAK.JPG
