LOAD DATA
INFILE *
APPEND
INTO TABLE macomb.mt_eh_entity_default_photo
FIELDS TERMINATED BY ',' OPTIONALLY ENCLOSED BY '"'
(ENTITY_ID,PHOTO_ID,ACTION_TYPE,ACTION_TIME,ACTION_BY)
BEGINDATA
0IHUQIZ000X23MIG,PTW89EL67Z7DFXFB,I,1999010822:53:48-480,-900
0IHUWDI000XD3MIG,C6AQJCC0QUV0GV9I,I,1999010902:03:08-480,-900
0IHURLR1K0XD3MIG,ATSHU5LKVXQXNESK,I,1999010902:07:24-480,-900
0IHUWDJ3O0XD3MIG,WR09F5K96G8ANVR3,I,1999010902:17:28-480,-900
0IHUVGX1F0XD3MIG,VCW5XDSE7D7K0Q6M,I,1999010905:51:24-480,-900
0IHUWDL2U0XD3MIG,QQTTT2PDRAO2HP1F,I,1999010905:56:42-480,-900
0IHUWDL000XD3MIG,KDB2JQP5QK0BPQ85,I,1999010905:59:08-480,-900
0IHVNLLRJ0X83MIG,C36C7UU3O6CVY8KE,I,1999010906:00:16-480,-900
0IHULK2060X22MIG,RN2ACLI8SBMU9FBA,I,1999010906:02:50-480,-900
0IHVNHR000X84MIG,YYZ17RZ1B6GS1NUR,I,1999010906:33:48-480,-900
0IHUQ50060XD3MIG,QA5X75FLKSLG8DPB,I,1999010906:36:56-480,-900
0IHURJF4P0XD2MIG,Z6521UO3OBCWMSHC,I,1999010906:38:18-480,-900
0IHURI2000XD3MIG,C7T886C6URBMKO0C,I,1999010906:40:18-480,-900
0IHUWDN000XD3MIG,HZ2YLLUBNYTZI2OK,I,1999010906:41:02-480,-900
0IHUXXB000X31MIG,XHLICKAYFAEBNLKJ,I,1999010906:42:54-480,-900
0IHV0WS060XD1MIG,A1OEWVKF1AY5K1Z7,I,1999010906:44:10-480,-900
0IHUJIY000XD7MIG,HKDJEGCMAR9RW7NI,I,1999010907:01:34-480,-900
0IHUJQE000X30MIG,X286OKGSNE4K6RM7,I,1999010907:24:06-480,-900
0IHUTJP000X31MIG,YWJ8HLMMRQ2OFQY0,I,1999010916:30:54-480,-900
0IHUKTN060X23MIG,T0YELZZFFSVQX0VQ,I,1999010918:04:22-480,-900
0IHUU0M000X31MIG,MO347RXO3IJ77Z3A,I,1999010922:57:42-480,-900
0IHUWE3000XD3MIG,ECHOBF8NR1QI7O34,I,1999011003:48:06-480,-900
0IHUXHF000XD2MIG,JIQME3HCQ5A5IQH1,I,1999011004:23:18-480,-900
0IHUQDE000X31MIG,B1ALDKKBF7856Y0D,I,1999011004:27:36-480,-900
